,artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
930,Elliott Sharp,orchestra,album,Radiolaria,2001,6onChbVHv5JVRqHclhExM6,"Sharp is an American multi-instrumentalist, composer, and performer. A central figure in the avant-garde and experimental music scene in New York City for over 30 years, Elliott Sharp has released over eighty-five recordings ranging from orchestral music to blues, jazz, noise, free improvisation, no wave, and electronic music. Having played in a number of bands; Hi Sheriffs Of Blue, Mofungo, Semantics; and Bootstrappers, he leads the projects Elliott Sharp / Carbon and Elliott Sharp / Orchestra Carbon <a href=""https://www.last.fm/music/Elliott+Sharp"">Read more on Last.fm</a>",16743.0,120960.0,John Cage,Bill Frisell,John Zorn
931,Beat Furrer,orchestra,album,"Beat Furrer: Orchestral, Choir and Ensemble Works",2001,7raYsrvWoVEbWpan60EjU1,"Beat Furrer (b. 6 December 1954) is an Austrian composer and conductor of Swiss birth. Born in Schaffhausen, Switzerland, Furrer relocated to Vienna in 1975 to pursue studies with Roman Haubenstock-Ramati (composition) and Otmar Suitner (conducting). In 1985 he formed what is now one of Europe's leading contemporary music ensembles, Klangforum Wien, which he still conducts. Recent awards and honors include the Music Prize of the city of Vienna in 2003 and the Golden Lion, for the mono-drama ""FAMA,"" at the 2006 Venice Biennale. <a href=""https://www.last.fm/music/Beat+Furrer"">Read more on Last.fm</a>",4271.0,30595.0,Peter Ablinger,Pierluigi Billone,Johannes Maria Staud
932,The Louisville Orchestra,orchestra,album,"Aaron Copland: Orchestral Variations - Alfonso Letelier - Aculeo, Suite for Orchestra",2001,0hgbxogqUEdb4l1MeuiZgm,"Founded in 1937 by conductor Robert Whitney and civic leaders, the Louisville Orchestra has long been recognized as the cornerstone of the Louisville arts community. The ensemble offers a wide variety of concert series to the community, including classical programs featuring world-renowned guest artists, lighter classical and pops performances, and education and family offerings, the Orchestra is also the resident performing group for the Louisville Ballet and the Kentucky Opera. <a href=""https://www.last.fm/music/The+Louisville+Orchestra"">Read more on Last.fm</a>",1785.0,9424.0,Alan Hovhaness,Walter Piston,Howard Hanson
933,Greek Folk Orchestra,orchestra,album,The Greek Dances of Mainland Greece,2001,3jMMBIkQKb9oBDM1k09J72," <a href=""https://www.last.fm/music/Greek+Folk+Orchestra"">Read more on Last.fm</a>",1142.0,5710.0,Anna & Aimilia Hatzidaki,Vorghos Vasilakis,Yorghos Marinakis
934,National Philarmonic Orchestra,orchestra,album,"México Lindo, Vol. 2",2001,5IBR4r1W29WBW9x0lN3qmv," <a href=""https://www.last.fm/music/National+Philarmonic+Orchestra"">Read more on Last.fm</a>",266.0,2082.0,PHILARMONIC SINFONIA OF LONDON,LONDON PROMENADE ORCHESTRA Dir. Eric Hammerstein,LONDON PROMENADE ORCHESTRA Dir. Charles Gerhardt
935,UMO Jazz Orchestra,orchestra,album,Umo Jazz Orchestra: Transit People,2001,3RJF7gaLiDhn5Z3HrlarBz,"UMO Jazz Orchestra – the only one of its kind in Finland Big band music was performed in Finland already in December 1934, when the Rhythm Boys played live for a radio show at the Finnish Broadcasting Company’s studio on Helsinki’s Fabianinkatu. But it was another 40 years before the professional big band sound really took hold. This was in the mid-1970s, when jazz musicians achieved their common wish to play together in a large ensemble, resulting in the Finnish Jazz Music Workshop. <a href=""https://www.last.fm/music/UMO+Jazz+Orchestra"">Read more on Last.fm</a>",3982.0,31154.0,U-Street All Stars,Kvalda,Eero Koivistoinen
937,Cypress Hill,rock,track,(Rock) Superstar (feat. Chino Moreno & Everlast),2000,5hYr8yRbQLFE20oS7Mi3T2,"Cypress Hill is an American hip-hop group from South Gate, California. Cypress Hill was the first latino group to have platinum and multi-platinum albums and one of the first rap groups to gain a following with fans of hard rock and metal. The band was originally called DVX, but the name was changed after Mellow Man Ace left in 1988. Their first album, which was self-titled, was released in August 1991. Its single was ""Phuncky Feel One"", but it was <a href=""https://www.last.fm/music/Cypress+Hill"">Read more on Last.fm</a>",2087082.0,46894738.0,House of Pain,Funkdoobiest,The Psycho Realm
938,Sade,rock,track,Lovers Rock,2000,77lKjGkhvWuimTzQxA4STK,"Sade (pronounced shah-day) is an English band formed in London in 1982, named after their lead singer, Sade Adu. Their music features elements of soul, quiet storm, smooth jazz and sophisti-pop. All of their albums, including compilations and a live album, have charted in the US Top Ten. Three of their members were originally from Hull in the East Riding of Yorkshire. Sade was formed in 1982, when members of Latin soul band Pride — Sade Adu, (real name Helen Folasade Adu - born 16 January 1959 in Ibadan <a href=""https://www.last.fm/music/Sade"">Read more on Last.fm</a>",2791384.0,94718422.0,Erykah Badu,Solange,Anita Baker
939,Divididos,rock,track,Spaghetti del Rock,2000,6rg1MBZqggsQ5olFGTw0rr,"Divididos (""Divided"") is a rock band from Argentina with a significant place in the history of Argentine rock. Formed in 1988 after the death of Luca Prodan and the consequent dissolution of Sumo, Ricardo Mollo (vocals, guitar) and Diego Arnedo (bass guitar) joined drummer Gustavo Collado to form a band named ""La División"" (The Division), which would be later called ""Divididos"". (Another band emerged from the ashes of Sumo: Las Pelotas.) La Aplanadora del Rock is known for mixing rock with Argentine folk music, and hard-to-get lyrics. <a href=""https://www.last.fm/music/Divididos"">Read more on Last.fm</a>",120487.0,3150992.0,Los Piojos,La Renga,Patricio Rey y sus Redonditos de Ricota
940,Ratones Paranoicos,rock,track,Rock del gato - Vivo,2000,6kH6b7sxXoccjzBikdwCJ3,"Ratones Paranoicos was an Argentine music band, formed in 1984. The lead singer and guitar was Juan Sebastián Gutiérrez (""Juanse""), drummer Rubén Eduardo Quiroga (""Roy""), bass player Pablo Memi and backup singer and guitar Pablo Cano (""Sarcófago""). In August 2011, the band split. <a href=""https://www.last.fm/music/Ratones+Paranoicos"">Read more on Last.fm</a>",44691.0,650294.0,Divididos,Viejas Locas,Las Pelotas
941,Lenny Kravitz,rock,track,Rock And Roll Is Dead,2000,615xWgkKMMvn2vDV1vVu92,"Leonard Albert ""Lenny"" Kravitz (born May 26, 1964. New York, USA) is an American singer-songwriter, record producer, guitarist and actor whose retro amalgam of rock, pop, funk, and even techno is inspired by such music icons as David Bowie, Jimi Hendrix and John Lennon. Like Prince and Sly Stone before him, Kravitz uses a multi-ethnic, mixed-gender backing band. Kravitz plays guitar, bass, drums, keyboards, percussion, and sitar. He often plays these instruments on each recorded track <a href=""https://www.last.fm/music/Lenny+Kravitz"">Read more on Last.fm</a>",2592084.0,43712797.0,Prince,Terence Trent D'Arby,Seal
942,Oasis,rock,track,"Rock 'n' Roll Star - Live at Wembley Stadium, July 2000",2000,23ZtzensWN9UUdLU24AI2h,"Oasis are an English alternative rock band formed in Manchester in 1991. Originally known as the Rain, the group initially consisted of Liam Gallagher (lead vocals, tambourine), Paul Arthurs (guitar), Paul McGuigan (bass guitar) and Tony McCarroll (drums). Liam's older brother Noel (lead guitar, vocals) later joined as a fifth member, finalising the group's core lineup. During the course of their existence, they had various lineup changes, with the Gallagher brothers remaining the only staple members. <a href=""https://www.last.fm/music/Oasis"">Read more on Last.fm</a>",5181955.0,250346108.0,Liam Gallagher,Noel Gallagher's High Flying Birds,Beady Eye
