artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
Francisco Canaro,tango,track,Tangon,2000,76ykNl4JXqmC2IFR0qm04U,"Francisco Canaro (November 26, 1888 – December 14, 1964) was an Uruguayan violinist and tango orchestra leader. Known as ""Pirincho"" Canaro, he had a career that spanned many decades, and his orchestra was one of the most recorded. Much of his recorded music is in the classic salon style of the 1940s, but he is also considered a member of the old guard, and some of his later recordings contributed to the transition to concert tango. For many contemporary dancers and listeners, his early golden age recordings are the best. <a href=""https://www.last.fm/music/Francisco+Canaro"">Read more on Last.fm</a>",43194,444150,Rodolfo Biagi,Osvaldo Fresedo,Alfredo De Angelis
Juan Carlos Caceres,tango,track,Toca Tango,2000,4B7iARS1wXjKFdNoIwlEe3,"See Juan Carlos Cáceres <a href=""https://www.last.fm/music/+noredirect/Juan+Carlos+Caceres"">Read more on Last.fm</a>",2914,12961,Tango Negro Trio,Conjunto Berretín,Carlos Di Sarli
Bruno Bertoli,tango,track,Tango De Amor,2000,4wZaejrFsd9ep90bS3iV8k," <a href=""https://www.last.fm/music/Bruno+Bertoli"">Read more on Last.fm</a>",3732,8220,Frankie Cimino,Umberto Scipione,Nadine e Marcus
Jesus Heredia,tango,track,Tangos. Sólo Cante por Jesús Heredia,2000,0pabpgJ56ziK1FcxihKLQe," <a href=""https://www.last.fm/music/Jesus+Heredia"">Read more on Last.fm</a>",310,806,Jose Galan,Placido Gonzalez,Jose De La Tomasa
Juana Amaya,tango,track,Tangos con Guitarra = 176,2000,2ExyCrCtRVz1KBzCSpaJIf," <a href=""https://www.last.fm/music/Juana+Amaya"">Read more on Last.fm</a>",419,3538,Jose Galvan,Manuel Salado,Adela Campallo
Juana Amaya,tango,track,Tangos con Guitarra = 160,2000,0ePO8WDhdAJWv2xvMGQp73," <a href=""https://www.last.fm/music/Juana+Amaya"">Read more on Last.fm</a>",419,3538,Jose Galvan,Manuel Salado,Adela Campallo
Al Caiola,tango,track,Tango Medley: Chitarra Romana (Roman Guitar) /Strada Del Bosce,2000,6zk2pxWz07WDPl2vFyeyU2,"Alexander Emil Caiola (September 7, 1920 – November 9, 2016), better known as Al Caiola, was a guitarist, composer and arranger who spanned a variety of music genres including jazz, country, rock, western, and pop. He recorded over fifty albums and worked with some of the biggest names in music during the 20th century, including Elvis Presley, Ferrante & Teicher, Frank Sinatra, Percy Faith, Buddy Holly, Mitch Miller, and Tony Bennett. During World <a href=""https://www.last.fm/music/Al+Caiola"">Read more on Last.fm</a>",53027,292910,Nelson Riddle,Billy Vaughn,Billy May
Enrique Montoya,tango,track,Tangos gitanos,2000,51Bz7YideNArNENP0b4zBR," <a href=""https://www.last.fm/music/Enrique+Montoya"">Read more on Last.fm</a>",1472,6744,Juanita Reina,Pepe Blanco,Pepe Pinto
Bertolt Brecht,tango,track,Tango-Ballad - The Threepenny Opera/1954 Original Broadway Cast/Remastered,2000,114uvPYLvf84W2r9tfGz1c,"Bertolt Brecht (born Eugen Berthold Friedrich Brecht; 10 February 1898–14 August 1956) was a German poet, playwright, and theatre director. His collaboration with composer Kurt Weill in particular created popular music classics such as Mack The Knife and Alabama Song. An influential theatre practitioner of the twentieth century, Brecht made equally significant contributions to dramaturgy and theatrical production, the latter particularly through <a href=""https://www.last.fm/music/Bertolt+Brecht"">Read more on Last.fm</a>",12202,91156,Lotte Lenya,Dagmar Krause,Klaus Kinski
Solo Compas,tango,track,tangos con guitarra 152 por minuto,2000,7mqTqDNLeEmj9D06Itwkex," <a href=""https://www.last.fm/music/Solo+Compas"">Read more on Last.fm</a>",1061,8095,Manuel Salado,Sevillanas,Chicuelo
