artista,genero,tipo,nombre,año_lanzamiento,id,bio,oyentes,reproducciones,similar_1,similar_2,similar_3
3 Canal,hip hop,track,Oye Como Va (feat. Marka) - Radio Edit,2000,4BKHwoTlasqjjUWaBX4Ab1,"3canal is a Rapso group from the Caribbean island of Trinidad. They began using the Jouvay of Trinidad’'s Carnival as their platform for expression in 1994. Three years later they ventured into the form of Rapso Music [a musical genre defined as the fusion of Rap and Calypso] to ‘make a statement’. “We never intended to be players in the music business, we started off by looking for solutions to some of the problems faced by artists coming from a place where the odds are stacked against you,” says Roger Roberts. <a href=""https://www.last.fm/music/3+Canal"">Read more on Last.fm</a>",2874,13966,Ajala,Tony Prescott,Explainer
R. Kelly,hip hop,track,Fiesta,2000,66xrty1Aw3DcSxW20nGuFa,"Robert Sylvester Kelly (born January 8, 1967 in Chicago, Illinois), better known by his stage name R. Kelly, is a Grammy award winning American R&B singer-songwriter, rapper, actor and record producer. Debuting in 1991 with the group Public Announcement, Kelly went solo in 1993, starting off a successful career with the release of the album 12 Play. He has since released a further nine studio albums, collaborated with Jay-Z on two albums and has had many successful singles including Bump N' Grind <a href=""https://www.last.fm/music/R.+Kelly"">Read more on Last.fm</a>",1854407,19926556,Keith Sweat,Dru Hill,Silk
Michael McGoldrick,hip hop,track,Hip Agus Hop,2000,6rT2fxF4j3IkwMaJP3RJRT,"Michael McGoldrick (b. 1971, Manchester, England) is a flute and tin whistle player of great renown. He also plays the Uilleann pipes. He has been a member of several influential bands. In 1994 he was awarded the BBC Young Tradition Award, and, in 2001, he was given the Instrumentalist of the Year award at the BBC Radio 2 Folk Awards. McGoldrick was a founder-member of Celtic rock band, Toss the Feathers while still at school. He also competed in <a href=""https://www.last.fm/music/Michael+McGoldrick"">Read more on Last.fm</a>",40161,270658,Liz Carroll,Danú,Matt Malloy
The Firm,hip hop,track,Firm Fiasco,2000,1kg75uZfhHYvey7rguzPIM,"The are multiple artists with this name. 1)The Firm was an English rock supergroup comprising former Free and Bad Company singer Paul Rodgers, ex-Led Zeppelin guitarist Jimmy Page, ex-Uriah Heep and Manfred Mann's Earth Band drummer Chris Slade and bass player Tony Franklin. Formed in 1984, the band had only mediocre album sales, although they did have sellout tours. Page and Rodgers originally wanted former Yes drummer Bill Bruford and fretless bassist Pino Palladino in the group; however <a href=""https://www.last.fm/music/The+Firm"">Read more on Last.fm</a>",107752,748333,Bad Company,Triumph,Robert Plant
The Rapsody,hip hop,track,We Are U & U Are We,2000,0QruntXoWugXPYf7pJXGpA,"The correct tag for female artist is Rapsody. The Rapsody is alias of Voelker Brothers (producers). The Rapsody Overture: Hip Hop Meets Classic is a concept album of remixes consisting of Hip Hop and Classical genre of music which combined American rappers with European opera singers. It was released in 1997 by Mercury Records and distributed by Def Jam Recordings. ""Prince Igor"" was a #1 hit across Europe in 1998, a duet between American rapper Warren G and Sissel Kyrkjebø. <a href=""https://www.last.fm/music/+noredirect/The+Rapsody"">Read more on Last.fm</a>",9465,51829,Phonte,Nxworries,Che Noir
Camp Lo,hip hop,track,Poppin' That Fly,2000,5ySWDeUu9A1PAgFkAn4hg0,"Camp Lo is an American Hip Hop duo, formed in 1995, which hails from The Bronx, New York. The duo consists of rappers Sonny Cheeba and Geechi Suede, who are most notable for their flair towards blaxploitation in their style of dress and in their lyrics. Camp Lo made their first appearance in 1996 on The Great White Hype soundtrack, with their single ""Coolie High"". The smooth party song was a minor hit, peaking at #25 on the Billboard Hot Rap Singles chart. <a href=""https://www.last.fm/music/Camp+Lo"">Read more on Last.fm</a>",281499,2964933,Brand Nubian,Grand Puba,Digable Planets
Da Jim,hip hop,track,รุ่นใหญ่,2000,5j4pxd66SSs6XP0pMv9JG4,"Da Jim is a Thai Hip Hop Artist <a href=""https://www.last.fm/music/+noredirect/Da+Jim"">Read more on Last.fm</a>",189,2549,Buddha Bless,Joey Boy,Thaitanium
Heltah Skeltah,hip hop,track,Leflaur Leflah Eshkoshka,2000,35g5ah46fiWsEwz1XlxtO5,"Heltah Skeltah is a Hip Hop duo consisting of members Rock aka Da Rockness Monstah and Ruck aka Sean Price. The two are members of Brooklyn hip hop supergroup Boot Camp Clik, along with Black Moon, Smif-N-Wessun, and O.G.C.. Heltah Skeltah was formed in 1995. Heltah Skeltah first appeared on Smif-N-Wessun's album Dah Shinin' in 1995, appearing on the tracks ""Wontime (LP Version)"", ""Cession at da Doghillee (LP Version)"" and ""Let's Git It On"". Later in 1995, they grouped up with fellow Boot Camp members O. <a href=""https://www.last.fm/music/Heltah+Skeltah"">Read more on Last.fm</a>",160373,1904189,Sean Price,O.G.C.,Smif-n-Wessun
The Rapsody,hip hop,track,Men Hobbek Omri,2000,573rjoBr5JYqjRVH8ewd4o,"The correct tag for female artist is Rapsody. The Rapsody is alias of Voelker Brothers (producers). The Rapsody Overture: Hip Hop Meets Classic is a concept album of remixes consisting of Hip Hop and Classical genre of music which combined American rappers with European opera singers. It was released in 1997 by Mercury Records and distributed by Def Jam Recordings. ""Prince Igor"" was a #1 hit across Europe in 1998, a duet between American rapper Warren G and Sissel Kyrkjebø. <a href=""https://www.last.fm/music/+noredirect/The+Rapsody"">Read more on Last.fm</a>",9465,51829,Phonte,Nxworries,Che Noir
The Rapsody,hip hop,track,Music Is Color Blind,2000,11UUxbY0TNgc4Vtfj9Lh6z,"The correct tag for female artist is Rapsody. The Rapsody is alias of Voelker Brothers (producers). The Rapsody Overture: Hip Hop Meets Classic is a concept album of remixes consisting of Hip Hop and Classical genre of music which combined American rappers with European opera singers. It was released in 1997 by Mercury Records and distributed by Def Jam Recordings. ""Prince Igor"" was a #1 hit across Europe in 1998, a duet between American rapper Warren G and Sissel Kyrkjebø. <a href=""https://www.last.fm/music/+noredirect/The+Rapsody"">Read more on Last.fm</a>",9465,51829,Phonte,Nxworries,Che Noir
